172.23.72.184;2022-12-15 10:26:02.488061;Erro;Erro;
172.23.72.184;2022-12-16 09:39:53.779452;-20.478675440;-43.937756704
172.23.72.184;2023-11-13 08:29:01.847945;Erro;Erro;
172.23.72.184;2023-11-13 08:29:36.667931;Erro;Erro;
172.23.72.184;2023-11-13 08:30:09.439954;Erro;Erro;
172.23.72.184;2023-11-13 08:30:44.240282;Erro;Erro;
172.23.72.184;2023-11-13 08:31:19.064164;Erro;Erro;
172.23.72.184;2023-11-13 08:31:53.875928;Erro;Erro;
172.23.72.184;2023-11-13 08:32:26.651959;Erro;Erro;
172.23.72.184;2023-11-13 08:33:01.479997;Erro;Erro;
172.23.72.184;2023-11-13 08:33:36.272193;Erro;Erro;
172.23.72.184;2023-11-13 08:33:59.552875;-20.461232659;-43.924689159
172.23.72.184;2023-11-13 08:34:11.099934;Erro;Erro;
172.23.72.184;2023-11-13 08:34:13.222263;-20.461227640;-43.924701414
172.23.72.184;2023-11-13 08:34:17.919693;-20.461217528;-43.924711611
172.23.72.184;2023-11-13 08:34:45.919928;Erro;Erro;
172.23.72.184;2023-11-13 08:34:51.845188;-20.458844184;-43.924456809
172.23.72.184;2023-11-13 08:35:26.366737;-20.456446604;-43.922668109
172.23.72.184;2023-11-13 08:36:00.863468;-20.453592771;-43.923168846
172.23.72.184;2023-11-13 08:36:35.338285;-20.453323346;-43.925899235
172.23.72.184;2023-11-13 08:37:18.977200;-20.456220816;-43.926772505
172.23.72.184;2023-11-13 08:37:43.817340;-20.458262946;-43.927552258
172.23.72.184;2023-11-13 08:38:17.838703;-20.461026769;-43.930226235
172.23.72.184;2023-11-13 08:38:52.162945;-20.464177894;-43.931103866
172.23.72.184;2023-11-13 08:39:27.059760;-20.465181587;-43.932526424
172.23.72.184;2023-11-13 08:40:01.163333;-20.463171213;-43.932622641
172.23.72.184;2023-11-13 08:40:34.964712;-20.461150553;-43.932485214
172.23.72.184;2023-11-13 08:41:09.836009;-20.457957963;-43.933866915
172.23.72.184;2023-11-13 08:41:45.309739;-20.454563784;-43.935160940
172.23.72.184;2023-11-13 08:42:18.232717;-20.453415064;-43.935031877
172.23.72.184;2023-11-13 08:42:52.090024;-20.451293520;-43.934669362
172.23.72.184;2023-11-13 08:43:26.841431;-20.449517191;-43.934346893
172.23.72.184;2023-11-13 08:44:01.500827;-20.448999741;-43.934493041
172.23.72.184;2023-11-13 08:44:36.332119;-20.448999264;-43.934493464
172.23.72.184;2023-11-13 08:45:09.694609;-20.448998972;-43.934492538
172.23.72.184;2023-11-13 08:45:44.349397;-20.448824359;-43.934285980
172.23.72.184;2023-11-13 08:46:17.978827;-20.448824842;-43.934284968
172.23.72.184;2023-11-13 08:46:52.470939;-20.448824709;-43.934285242
172.23.72.184;2023-11-13 08:47:26.683392;-20.448824228;-43.934286039
172.23.72.184;2023-11-13 08:48:01.577880;-20.448823325;-43.934287129
172.23.72.184;2023-11-13 08:48:37.222426;-20.448823312;-43.934287223
172.23.72.184;2023-11-13 08:49:11.396515;-20.448824393;-43.934286192
172.23.72.184;2023-11-13 08:49:45.582224;-20.448825122;-43.934285500
172.23.72.184;2023-11-13 08:50:19.700699;-20.448795007;-43.934207938
172.23.72.184;2023-11-13 08:50:55.727830;-20.448765411;-43.934052896
172.23.72.184;2023-11-13 08:51:31.333288;-20.448714687;-43.934042492
172.23.72.184;2023-11-13 08:52:05.453862;-20.448715976;-43.934041354
172.23.72.184;2023-11-13 08:52:40.076671;-20.448715979;-43.934041486
172.23.72.184;2023-11-13 08:53:13.638956;-20.448715903;-43.934042226
172.23.72.184;2023-11-13 08:53:47.668489;-20.448716008;-43.934043881
172.23.72.184;2023-11-13 08:54:21.718594;-20.448716079;-43.934044614
172.23.72.184;2023-11-13 08:54:57.387821;-20.448716596;-43.934045674
172.23.72.184;2023-11-13 08:55:31.910113;-20.448716799;-43.934046229
172.23.72.184;2023-11-13 08:56:05.966641;-20.449101261;-43.934068612
172.23.72.184;2023-11-13 08:56:40.527581;-20.450806010;-43.934551932
172.23.72.184;2023-11-13 08:57:15.992021;-20.452982989;-43.935111766
172.23.72.184;2023-11-13 08:57:49.002794;-20.455289654;-43.935203024
172.23.72.184;2023-11-13 08:58:22.953846;-20.457451629;-43.934321315
172.23.72.184;2023-11-13 08:58:57.560235;-20.459561577;-43.933203444
172.23.72.184;2023-11-13 08:59:32.583026;-20.461387601;-43.932498529
172.23.72.184;2023-11-13 09:00:17.848058;-20.463664294;-43.932718116
172.23.72.184;2023-11-13 09:00:41.182166;-20.464709070;-43.932807411
172.23.72.184;2023-11-13 09:01:15.556893;-20.466427064;-43.932464499
172.23.72.184;2023-11-13 09:01:51.493835;-20.468067012;-43.932071565
172.23.72.184;2023-11-13 09:02:25.117922;-20.467162611;-43.930751632
172.23.72.184;2023-11-13 09:03:00.324839;-20.465539661;-43.929921324
172.23.72.184;2023-11-14 07:13:24.496220;Erro;Erro;
172.23.72.184;2023-11-14 07:14:01.368160;Erro;Erro;
172.23.72.184;2023-11-14 07:14:34.143983;Erro;Erro;
172.23.72.184;2023-11-14 07:15:06.896264;Erro;Erro;
172.23.72.184;2023-11-14 07:15:41.723893;Erro;Erro;
172.23.72.184;2023-11-14 07:16:16.527908;Erro;Erro;
172.23.72.184;2023-11-14 07:16:49.296193;Erro;Erro;
172.23.72.184;2023-11-14 07:17:24.120181;Erro;Erro;
172.23.72.184;2023-11-14 07:17:58.928277;Erro;Erro;
172.23.72.184;2023-11-14 07:18:33.744331;Erro;Erro;
172.23.72.184;2023-11-14 07:19:06.531954;Erro;Erro;
172.23.72.184;2023-11-14 07:19:41.327960;Erro;Erro;
172.23.72.184;2023-11-14 07:20:14.107914;Erro;Erro;
172.23.72.184;2023-11-14 07:20:48.920167;Erro;Erro;
172.23.72.184;2023-11-14 07:21:23.728222;Erro;Erro;
172.23.72.184;2023-11-14 07:21:58.552155;Erro;Erro;
172.23.72.184;2023-11-14 07:22:33.360309;Erro;Erro;
172.23.72.184;2023-11-14 07:23:06.135988;Erro;Erro;
172.23.72.184;2023-11-14 07:23:40.944240;Erro;Erro;
172.23.72.184;2023-11-14 07:24:13.719897;Erro;Erro;
172.23.72.184;2023-11-14 07:24:48.540026;Erro;Erro;
172.23.72.184;2023-11-14 07:25:23.343956;Erro;Erro;
172.23.72.184;2023-11-14 07:25:58.160277;Erro;Erro;
172.23.72.184;2023-11-14 07:26:32.999949;Erro;Erro;
172.23.72.184;2023-11-14 07:27:05.759880;Erro;Erro;
172.23.72.184;2023-11-14 07:27:40.560229;Erro;Erro;
172.23.72.184;2023-11-14 07:28:15.379912;Erro;Erro;
172.23.72.184;2023-11-14 07:28:48.152156;Erro;Erro;
172.23.72.184;2023-11-14 07:29:22.964249;Erro;Erro;
172.23.72.184;2023-11-14 07:29:59.832217;Erro;Erro;
172.23.72.184;2023-11-14 07:30:32.600203;Erro;Erro;
172.23.72.184;2023-11-14 07:31:07.408327;Erro;Erro;
172.23.72.184;2023-11-14 07:31:42.223904;Erro;Erro;
172.23.72.184;2023-11-14 07:32:14.996206;Erro;Erro;
172.23.72.184;2023-11-14 07:32:49.814859;Erro;Erro;
172.23.72.184;2023-11-14 07:33:24.624249;Erro;Erro;
172.23.72.184;2023-11-14 07:33:57.396224;Erro;Erro;
172.23.72.184;2023-11-14 07:34:32.223916;Erro;Erro;
172.23.72.184;2023-11-14 07:35:07.024302;Erro;Erro;
172.23.72.184;2023-11-14 07:35:41.839948;Erro;Erro;
172.23.72.184;2023-11-14 07:36:14.622293;Erro;Erro;
172.23.72.184;2023-11-14 07:36:49.439891;Erro;Erro;
172.23.72.184;2023-11-14 07:37:22.192604;Erro;Erro;
172.23.72.184;2023-11-14 07:37:57.012225;Erro;Erro;
172.23.72.184;2023-11-14 07:38:33.887899;Erro;Erro;
172.23.72.184;2023-11-14 07:39:06.651953;Erro;Erro;
172.23.72.184;2023-11-14 07:39:41.456190;Erro;Erro;
172.23.72.184;2023-11-14 07:40:14.224244;Erro;Erro;
172.23.72.184;2023-11-14 07:40:49.044037;Erro;Erro;
172.23.72.184;2023-11-14 07:41:23.856291;Erro;Erro;
172.23.72.184;2023-11-14 07:41:58.675958;Erro;Erro;
172.23.72.184;2023-11-14 07:42:31.440212;Erro;Erro;
172.23.72.184;2023-11-14 07:43:06.256276;Erro;Erro;
172.23.72.184;2023-11-14 07:43:41.072302;Erro;Erro;
172.23.72.184;2023-11-14 07:44:15.899932;Erro;Erro;
172.23.72.184;2023-11-14 07:44:48.663912;Erro;Erro;
172.23.72.184;2023-11-14 07:45:23.473241;Erro;Erro;
172.23.72.184;2023-11-14 07:45:58.288175;Erro;Erro;
172.23.72.184;2023-11-14 07:46:31.067979;Erro;Erro;
172.23.72.184;2023-11-14 07:47:05.887935;Erro;Erro;
172.23.72.184;2023-11-14 07:47:40.688271;Erro;Erro;
172.23.72.184;2023-11-14 07:48:15.503956;Erro;Erro;
172.23.72.184;2023-11-14 07:48:50.320129;Erro;Erro;
172.23.72.184;2023-11-14 07:49:23.088219;Erro;Erro;
172.23.72.184;2023-11-14 07:49:57.908218;Erro;Erro;
172.23.72.184;2023-11-14 07:50:32.720261;Erro;Erro;
172.23.72.184;2023-11-14 07:51:07.551937;Erro;Erro;
172.23.72.184;2023-11-14 07:51:40.312188;Erro;Erro;
172.23.72.184;2023-11-14 07:52:15.123879;Erro;Erro;
172.23.72.184;2023-11-14 07:52:47.896170;Erro;Erro;
172.23.72.184;2023-11-14 07:53:22.708222;Erro;Erro;
172.23.72.184;2023-11-14 07:53:57.520206;Erro;Erro;
172.23.72.184;2023-11-14 07:54:32.344221;Erro;Erro;
172.23.72.184;2023-11-14 07:55:07.152235;Erro;Erro;
172.23.72.184;2023-11-14 07:55:39.928194;Erro;Erro;
172.23.72.184;2023-11-14 07:56:14.736199;Erro;Erro;
172.23.72.184;2023-11-14 07:56:47.504233;Erro;Erro;
172.23.72.184;2023-11-14 07:57:22.324617;Erro;Erro;
172.23.72.184;2023-11-14 07:57:57.136292;Erro;Erro;
172.23.72.184;2023-11-14 07:58:31.952223;Erro;Erro;
172.23.72.184;2023-11-14 07:59:04.720281;Erro;Erro;
172.23.72.184;2023-11-14 07:59:39.548023;Erro;Erro;
172.23.72.184;2023-11-14 08:00:14.352321;Erro;Erro;
172.23.72.184;2023-11-14 08:00:47.120216;Erro;Erro;
172.23.72.184;2023-11-14 08:01:21.949299;Erro;Erro;
172.23.72.184;2023-11-14 08:01:56.760190;Erro;Erro;
172.23.72.184;2023-11-14 08:02:33.616244;Erro;Erro;
172.23.72.184;2023-11-14 08:03:06.392205;Erro;Erro;
172.23.72.184;2023-11-14 08:03:41.215918;Erro;Erro;
172.23.72.184;2023-11-14 08:04:13.971922;Erro;Erro;
172.23.72.184;2023-11-14 08:04:48.792194;Erro;Erro;
172.23.72.184;2023-11-14 08:05:23.619793;Erro;Erro;
172.23.72.184;2023-11-14 08:05:58.424186;Erro;Erro;
172.23.72.184;2023-11-14 08:06:31.192193;Erro;Erro;
172.23.72.184;2023-11-14 08:07:06.000293;Erro;Erro;
172.23.72.184;2023-11-14 08:07:40.820250;Erro;Erro;
172.23.72.184;2023-11-14 08:08:15.639869;Erro;Erro;
172.23.72.184;2023-11-14 08:08:48.400097;Erro;Erro;
172.23.72.184;2023-11-14 08:09:23.224198;Erro;Erro;
172.23.72.184;2023-11-14 08:09:58.032292;Erro;Erro;
172.23.72.184;2023-11-14 08:10:30.812055;Erro;Erro;
172.23.72.184;2023-11-14 08:11:05.627933;Erro;Erro;
172.23.72.184;2023-11-14 08:11:40.447921;Erro;Erro;
172.23.72.184;2023-11-14 08:12:13.199928;Erro;Erro;
172.23.72.184;2023-11-14 08:12:48.016169;Erro;Erro;
172.23.72.184;2023-11-14 08:13:20.792684;Erro;Erro;
172.23.72.184;2023-11-14 08:13:59.711923;Erro;Erro;
172.23.72.184;2023-11-14 08:14:34.512352;Erro;Erro;
172.23.72.184;2023-11-14 08:15:07.288114;Erro;Erro;
172.23.72.184;2023-11-14 08:15:40.056030;Erro;Erro;
172.23.72.184;2023-11-14 08:16:14.875936;Erro;Erro;
172.23.72.184;2023-11-14 08:16:49.687982;Erro;Erro;
172.23.72.184;2023-11-14 08:17:22.463965;Erro;Erro;
172.23.72.184;2023-11-14 08:17:57.279951;Erro;Erro;
172.23.72.184;2023-11-14 08:18:32.080302;Erro;Erro;
172.23.72.184;2023-11-14 08:19:06.911949;Erro;Erro;
172.23.72.184;2023-11-14 08:19:41.713329;Erro;Erro;
172.23.72.184;2023-11-14 08:20:14.483987;Erro;Erro;
172.23.72.184;2023-11-14 08:20:49.296136;Erro;Erro;
172.23.72.184;2023-11-14 08:21:22.064556;Erro;Erro;
172.23.72.184;2023-11-14 08:21:56.888200;Erro;Erro;
172.23.72.184;2023-11-14 08:22:31.704166;Erro;Erro;
172.23.72.184;2023-11-14 08:23:06.516170;Erro;Erro;
172.23.72.184;2023-11-14 08:23:41.351877;Erro;Erro;
172.23.72.184;2023-11-14 08:24:14.108026;Erro;Erro;
172.23.72.184;2023-11-14 08:24:48.912268;Erro;Erro;
172.23.72.184;2023-11-14 08:25:21.691959;Erro;Erro;
172.23.72.184;2023-11-14 08:25:58.544273;Erro;Erro;
172.23.72.184;2023-11-14 08:26:31.312257;Erro;Erro;
172.23.72.184;2023-11-14 08:27:06.139999;Erro;Erro;
172.23.72.184;2023-11-14 08:27:40.944216;Erro;Erro;
172.23.72.184;2023-11-14 08:28:13.715924;Erro;Erro;
172.23.72.184;2023-11-14 08:28:48.543955;Erro;Erro;
172.23.72.184;2023-11-14 08:29:23.344251;Erro;Erro;
172.23.72.184;2023-11-14 08:29:56.127952;Erro;Erro;
172.23.72.184;2023-11-14 08:30:30.928291;Erro;Erro;
172.23.72.184;2023-11-14 08:31:05.744214;Erro;Erro;
172.23.72.184;2023-11-14 08:31:40.560283;Erro;Erro;
172.23.72.184;2023-11-14 08:32:13.331892;Erro;Erro;
172.23.72.184;2023-11-14 08:32:48.147915;Erro;Erro;
172.23.72.184;2023-11-14 08:33:22.959963;Erro;Erro;
172.23.72.184;2023-11-14 08:33:57.787933;Erro;Erro;
172.23.72.184;2023-11-14 08:34:32.600228;Erro;Erro;
172.23.72.184;2023-11-14 08:35:07.408277;Erro;Erro;
172.23.72.184;2023-11-14 08:35:42.223953;Erro;Erro;
172.23.72.184;2023-11-14 08:36:15.000162;Erro;Erro;
172.23.72.184;2023-11-14 08:36:49.827927;Erro;Erro;
172.23.72.184;2023-11-14 08:37:24.628172;Erro;Erro;
172.23.72.184;2023-11-14 08:37:59.440227;Erro;Erro;
172.23.72.184;2023-11-14 08:38:34.256236;Erro;Erro;
172.23.72.184;2023-11-14 08:39:07.024269;Erro;Erro;
172.23.72.184;2023-11-14 08:39:41.839946;Erro;Erro;
172.23.72.184;2023-11-14 08:40:16.660166;Erro;Erro;
172.23.72.184;2023-11-14 08:40:51.487915;Erro;Erro;
172.23.72.184;2023-11-14 08:41:26.288295;Erro;Erro;
172.23.72.184;2023-11-14 08:42:01.104287;Erro;Erro;
172.23.72.184;2023-11-14 08:42:33.876224;Erro;Erro;
172.23.72.184;2023-11-14 08:43:08.699953;Erro;Erro;
172.23.72.184;2023-11-14 08:43:43.503935;Erro;Erro;
172.23.72.184;2023-11-14 08:44:18.331943;Erro;Erro;
172.23.72.184;2023-11-14 08:44:51.088183;Erro;Erro;
172.23.72.184;2023-11-14 08:45:27.952417;Erro;Erro;
172.23.72.184;2023-11-14 08:46:02.772248;Erro;Erro;
172.23.72.184;2023-11-14 08:46:37.584270;Erro;Erro;
172.23.72.184;2023-11-14 08:47:12.399906;Erro;Erro;
172.23.72.184;2023-11-14 08:47:45.176129;Erro;Erro;
172.23.72.184;2023-11-14 08:48:19.984337;Erro;Erro;
172.23.72.184;2023-11-14 08:48:52.760169;Erro;Erro;
172.23.72.184;2023-11-14 08:49:27.567883;Erro;Erro;
172.23.72.184;2023-11-14 08:50:02.384294;Erro;Erro;
172.23.72.184;2023-11-14 08:50:37.200294;Erro;Erro;
172.23.72.184;2023-11-14 08:51:12.019858;Erro;Erro;
172.23.72.184;2023-11-14 08:51:44.791888;Erro;Erro;
172.23.72.184;2023-11-14 08:52:19.603924;Erro;Erro;
172.23.72.184;2023-11-14 08:52:54.426217;Erro;Erro;
172.23.72.184;2023-11-14 08:53:31.280228;Erro;Erro;
172.23.72.184;2023-11-14 08:54:06.096265;Erro;Erro;
172.23.72.184;2023-11-14 08:54:40.912298;Erro;Erro;
172.23.72.184;2023-11-14 08:55:13.687892;Erro;Erro;
172.23.72.184;2023-11-14 08:55:48.496381;Erro;Erro;
172.23.72.184;2023-11-14 08:56:23.316243;Erro;Erro;
172.23.72.184;2023-11-14 08:56:58.135956;Erro;Erro;
172.23.72.184;2023-11-14 08:57:32.944252;Erro;Erro;
172.23.72.184;2023-11-14 08:58:07.760268;Erro;Erro;
172.23.72.184;2023-11-14 08:58:40.528284;Erro;Erro;
172.23.72.184;2023-11-14 08:59:15.359898;Erro;Erro;
172.23.72.184;2023-11-14 08:59:50.168133;Erro;Erro;
172.23.72.184;2023-11-14 09:00:22.929004;Erro;Erro;
172.23.72.184;2023-11-14 09:00:59.807896;Erro;Erro;
172.23.72.184;2023-11-14 09:01:32.560379;Erro;Erro;
172.23.72.184;2023-11-14 09:02:07.395939;Erro;Erro;
172.23.72.184;2023-11-14 09:02:42.195956;Erro;Erro;
172.23.72.184;2023-11-14 09:03:17.023862;Erro;Erro;
172.23.72.184;2023-11-14 09:03:49.791918;Erro;Erro;
172.23.72.184;2023-11-14 09:04:26.655896;Erro;Erro;
172.23.72.184;2023-11-14 09:05:01.464188;Erro;Erro;
172.23.72.184;2023-11-14 09:05:36.283922;Erro;Erro;
172.23.72.184;2023-11-14 09:06:11.096110;Erro;Erro;
172.23.72.184;2023-11-14 09:06:45.915936;Erro;Erro;
172.23.72.184;2023-11-14 09:07:20.720238;Erro;Erro;
172.23.72.184;2023-11-14 09:07:57.592174;Erro;Erro;
172.23.72.184;2023-11-14 09:08:32.408187;Erro;Erro;
172.23.72.184;2023-11-14 09:09:07.231901;Erro;Erro;
172.23.72.184;2023-11-14 09:09:39.984263;Erro;Erro;
172.23.72.184;2023-11-14 09:10:14.811923;Erro;Erro;
172.23.72.184;2023-11-14 09:10:49.632031;Erro;Erro;
172.23.72.184;2023-11-14 09:11:26.491885;Erro;Erro;
172.23.72.184;2023-11-14 09:12:03.352160;Erro;Erro;
172.23.72.184;2023-11-14 09:12:38.171986;Erro;Erro;
172.23.72.184;2023-11-14 09:13:12.979944;Erro;Erro;
172.23.72.184;2023-11-14 09:13:47.792257;Erro;Erro;
172.23.72.184;2023-11-14 09:14:20.579937;Erro;Erro;
172.23.72.184;2023-11-14 09:14:57.432163;Erro;Erro;
172.23.72.184;2023-11-14 09:15:32.251921;Erro;Erro;
172.23.72.184;2023-11-14 09:16:07.060202;Erro;Erro;
172.23.72.184;2023-11-14 09:16:41.871883;Erro;Erro;
172.23.72.184;2023-11-14 09:17:16.688122;Erro;Erro;
172.23.72.184;2023-11-14 09:17:49.471933;Erro;Erro;
172.23.72.184;2023-11-14 09:18:26.339901;Erro;Erro;
172.23.72.184;2023-11-14 09:19:01.151917;Erro;Erro;
172.23.72.184;2023-11-14 09:19:35.968016;Erro;Erro;
172.23.72.184;2023-11-14 09:20:10.776159;Erro;Erro;
172.23.72.184;2023-11-14 09:20:45.603956;Erro;Erro;
172.23.72.184;2023-11-14 09:21:20.400304;Erro;Erro;
172.23.72.184;2023-11-14 10:14:43.483877;Erro;Erro;
172.23.72.184;2023-11-14 10:15:18.299983;Erro;Erro;
172.23.72.184;2023-11-14 10:15:53.104274;Erro;Erro;
172.23.72.184;2023-11-14 10:16:25.891949;Erro;Erro;
172.23.72.184;2023-11-14 10:17:00.689106;Erro;Erro;
172.23.72.184;2023-11-14 10:17:33.459938;Erro;Erro;
172.23.72.184;2023-11-14 10:18:08.272180;Erro;Erro;
172.23.72.184;2023-11-14 10:18:43.088290;Erro;Erro;
172.23.72.184;2023-11-14 10:19:19.963910;Erro;Erro;
172.23.72.184;2023-11-14 10:19:52.720269;Erro;Erro;
172.23.72.184;2023-11-14 10:20:27.544202;Erro;Erro;
172.23.72.184;2023-11-14 10:21:00.312196;Erro;Erro;
172.23.72.184;2023-11-14 10:21:35.119933;Erro;Erro;
172.23.72.184;2023-11-14 10:22:09.936300;Erro;Erro;
172.23.72.184;2023-11-14 10:22:42.708227;Erro;Erro;
172.23.72.184;2023-11-14 10:23:19.568351;Erro;Erro;
172.23.72.184;2023-11-14 10:23:52.336262;Erro;Erro;
172.23.72.184;2023-11-14 10:24:27.152240;Erro;Erro;
172.23.72.184;2023-11-14 10:24:59.920277;Erro;Erro;
172.23.72.184;2023-11-14 10:25:34.736918;Erro;Erro;
172.23.72.184;2023-11-14 10:26:07.515972;Erro;Erro;
172.23.72.184;2023-11-14 10:26:42.320216;Erro;Erro;
172.23.72.184;2023-11-14 10:27:19.184257;Erro;Erro;
172.23.72.184;2023-11-14 10:27:54.000299;Erro;Erro;
172.23.72.184;2023-11-14 10:28:26.768310;Erro;Erro;
172.23.72.184;2023-11-14 10:29:01.583922;Erro;Erro;
172.23.72.184;2023-11-14 10:29:36.407996;Erro;Erro;
172.23.72.184;2023-11-14 10:30:09.183903;Erro;Erro;
172.23.72.184;2023-11-14 10:30:43.999873;Erro;Erro;
172.23.72.184;2023-11-14 10:31:18.807874;Erro;Erro;
172.23.72.184;2023-11-14 10:31:53.618515;Erro;Erro;
172.23.72.184;2023-11-14 10:32:28.440161;Erro;Erro;
172.23.72.184;2023-11-14 10:33:01.200206;Erro;Erro;
172.23.72.184;2023-11-14 10:33:36.019964;Erro;Erro;
172.23.72.184;2023-11-14 10:34:08.791902;Erro;Erro;
172.23.72.184;2023-11-14 10:34:43.615974;Erro;Erro;
172.23.72.184;2023-11-14 10:35:18.439923;Erro;Erro;
172.23.72.184;2023-11-14 10:35:53.248059;Erro;Erro;
172.23.72.184;2023-11-14 10:36:26.011936;Erro;Erro;
172.23.72.184;2023-11-14 10:37:00.816240;Erro;Erro;
172.23.72.184;2023-11-14 10:37:35.639902;Erro;Erro;
172.23.72.184;2023-11-14 10:38:08.415907;Erro;Erro;
172.23.72.184;2023-11-14 10:38:41.183942;Erro;Erro;
172.23.72.184;2023-11-14 10:39:18.032239;Erro;Erro;
172.23.72.184;2023-11-14 10:39:52.848280;Erro;Erro;
172.23.72.184;2023-11-14 10:40:27.668201;Erro;Erro;
172.23.72.184;2023-11-20 08:12:58.258571;Erro;Erro;
172.23.72.184;2023-11-20 08:13:33.076339;Erro;Erro;
172.23.72.184;2023-11-20 08:14:07.888456;Erro;Erro;
172.23.72.184;2023-11-20 08:14:42.708284;Erro;Erro;
172.23.72.184;2023-11-20 08:15:15.487965;Erro;Erro;
172.23.72.184;2023-11-20 08:15:50.295890;Erro;Erro;
172.23.72.184;2023-11-20 08:16:23.063889;Erro;Erro;
172.23.72.184;2023-11-20 08:16:57.872305;Erro;Erro;
172.23.72.184;2023-11-20 08:17:32.727952;Erro;Erro;
172.23.72.184;2023-11-20 08:18:07.504292;Erro;Erro;
172.23.72.184;2023-11-20 08:18:42.320325;Erro;Erro;
172.23.72.184;2023-11-20 08:19:15.096172;Erro;Erro;
172.23.72.184;2023-11-20 08:19:49.903939;Erro;Erro;
172.23.72.184;2023-11-20 08:20:22.687945;Erro;Erro;
172.23.72.184;2023-11-20 08:20:57.492182;Erro;Erro;
172.23.72.184;2023-11-20 08:21:34.356204;Erro;Erro;
172.23.72.184;2023-11-20 08:22:07.124228;Erro;Erro;
172.23.72.184;2023-11-20 08:22:41.940165;Erro;Erro;
172.23.72.184;2023-11-20 08:23:14.712159;Erro;Erro;
172.23.72.184;2023-11-20 08:23:49.520845;Erro;Erro;
172.23.72.184;2023-11-20 08:24:24.344158;Erro;Erro;
172.23.72.184;2023-11-20 08:24:57.115908;Erro;Erro;
172.23.72.184;2023-11-20 08:25:33.979924;Erro;Erro;
172.23.72.184;2023-11-20 08:26:06.743971;Erro;Erro;
172.23.72.184;2023-11-20 08:26:41.556230;Erro;Erro;
172.23.72.184;2023-11-20 08:27:16.375900;Erro;Erro;
172.23.72.184;2023-11-20 08:27:49.151896;Erro;Erro;
172.23.72.184;2023-11-20 08:28:23.952341;Erro;Erro;
172.23.72.184;2023-11-20 08:28:56.724169;Erro;Erro;
172.23.72.184;2023-11-20 08:29:31.559894;Erro;Erro;
172.23.72.184;2023-11-20 08:30:06.352296;Erro;Erro;
172.23.72.184;2023-11-20 08:30:39.131920;Erro;Erro;
172.23.72.184;2023-11-20 08:31:13.936330;Erro;Erro;
172.23.72.184;2023-11-20 08:31:48.759904;Erro;Erro;
172.23.72.184;2023-11-20 08:32:21.520523;Erro;Erro;
172.23.72.184;2023-11-20 08:32:56.340236;Erro;Erro;
172.23.72.184;2023-11-20 08:33:33.208178;Erro;Erro;
172.23.72.184;2023-11-20 08:34:08.016342;Erro;Erro;
172.23.72.184;2023-11-20 08:34:40.784292;Erro;Erro;
172.23.72.184;2023-11-20 08:35:13.563929;Erro;Erro;
172.23.72.184;2023-11-20 08:35:48.367876;Erro;Erro;
172.23.72.184;2023-11-20 08:36:23.191945;Erro;Erro;
172.23.72.184;2023-11-20 08:36:55.963864;Erro;Erro;
172.23.72.184;2023-11-20 08:37:30.803927;Erro;Erro;
172.23.72.184;2023-11-20 08:38:05.592224;Erro;Erro;
172.23.72.184;2023-11-20 08:38:40.407949;Erro;Erro;
172.23.72.184;2023-11-20 08:39:15.224161;Erro;Erro;
172.23.72.184;2023-11-20 08:39:48.018917;Erro;Erro;
172.23.72.184;2023-11-20 08:40:22.815892;Erro;Erro;
172.23.72.184;2023-11-20 08:40:55.568364;Erro;Erro;
172.23.72.184;2023-11-20 08:41:32.440167;Erro;Erro;
172.23.72.184;2023-11-20 08:42:07.248325;Erro;Erro;
172.23.72.184;2023-11-20 08:42:42.064329;Erro;Erro;
172.23.72.184;2023-11-20 08:43:14.832824;Erro;Erro;
172.23.72.184;2023-11-20 08:43:49.647981;Erro;Erro;
172.23.72.184;2023-11-20 08:44:22.443959;Erro;Erro;
172.23.72.184;2023-11-20 08:44:57.237156;Erro;Erro;
172.23.72.184;2023-11-20 08:45:34.100170;Erro;Erro;
172.23.72.184;2023-11-20 08:46:06.872036;Erro;Erro;
172.23.72.184;2023-11-20 08:46:41.684221;Erro;Erro;
172.23.72.184;2023-11-20 08:47:14.448269;Erro;Erro;
172.23.72.184;2023-11-20 08:47:49.264270;Erro;Erro;
172.23.72.184;2023-11-20 08:48:22.051877;Erro;Erro;
172.23.72.184;2023-11-20 08:48:56.852244;Erro;Erro;
172.23.72.184;2023-11-20 08:49:33.723933;Erro;Erro;
172.23.72.184;2023-11-20 08:50:06.480290;Erro;Erro;
172.23.72.184;2023-11-20 08:50:41.296296;Erro;Erro;
172.23.72.184;2023-11-20 08:51:16.116194;Erro;Erro;
172.23.72.184;2023-11-20 08:51:48.883886;Erro;Erro;
172.23.72.184;2023-11-20 08:52:23.704163;Erro;Erro;
172.23.72.184;2023-11-20 08:52:56.472158;Erro;Erro;
172.23.72.184;2023-11-20 08:53:33.347937;Erro;Erro;
172.23.72.184;2023-11-20 08:54:08.144328;Erro;Erro;
172.23.72.184;2023-11-20 08:54:40.939946;Erro;Erro;
172.23.72.184;2023-11-20 08:55:15.736156;Erro;Erro;
172.23.72.184;2023-11-20 08:55:48.519232;Erro;Erro;
172.23.72.184;2023-11-20 08:56:23.312362;Erro;Erro;
172.23.72.184;2023-11-20 08:56:56.095906;Erro;Erro;
172.23.72.184;2023-11-20 08:57:32.979928;Erro;Erro;
172.23.72.184;2023-11-20 08:58:07.764161;Erro;Erro;
